Date,Max_Temp,Avg_Temp,Min_Temp,Total_Precipitation
1,78,71.5,65,0
2,78,71.3,66,0
3,77,70.5,67,0.56
4,78,71.7,64,0
5,73,66.5,61,0.04
6,69,66.1,64,0
7,81,74.7,70,0
8,73,67.6,65,0
9,77,72.4,67,0
10,82,75.1,71,0
11,80,73.9,72,0
12,72,62.5,54,1.15
13,58,53.3,49,0.02
14,60,55.8,52,0.03
15,70,63.2,55,0.02
16,63,55,49,0.04
17,63,55.8,50,0
18,52,48.5,44,0
19,62,54.3,47,0
20,65,59.1,55,0.07
21,54,48.4,43,0
22,58,48.7,43,0
23,76,56,47,0
24,55,50.8,47,0
25,52,46.9,43,0
26,50,46.1,42,0
27,52,49.7,45,0.66
28,54,50.1,47,0.36
29,57,53.3,49,0.07
30,57,50.8,45,0
31,64,56.3,47,0
